,Name,Price,Price per,Unit,Packet Size,Supermarket
2978,"American Wraps Fajita Chicken,  2 x 150 g","1,79 €","0,60 €",Preis pro 100 Gramm,(Packung 300 Gramm),aldi-sued
2979,American Sandwich-Gurken,"1,79 €","0,60 €",Preis pro 100 Gramm,(Packung 300 Gramm),aldi-sued
2980,American Bagels Natur,"1,19 €","0,79 €",Preis pro 100 Gramm,(Packung 150 Gramm),aldi-sued
2981,American Bagels Sesam,"1,19 €","0,35 €",Preis pro 100 Gramm,(Packung 340 Gramm),aldi-sued
2982,American Bagels Vitalkorn,"1,19 €","0,35 €",Preis pro 100 Gramm,(Packung 340 Gramm),aldi-sued
2983,"American Tortilla Wraps Tomate, 8 Stück","1,19 €","0,35 €",Preis pro 100 Gramm,(Packung 340 Gramm),aldi-sued
2984,"American Tortilla Wraps Knoblauch, 8 Stück","0,99 €","0,29 €",Preis pro 100 Gramm,(Packung 340 Gramm),aldi-sued
2985,American Ketchup Barbecue,"0,99 €","0,29 €",Preis pro 100 Gramm,(Packung 340 Gramm),aldi-sued
2986,American Gewürzsauce Ketchup & Senf,"0,99 €","1,98 €",Preis pro 1 Liter,(Flasche (Kunststoff) 500 ML),aldi-sued
2987,"American Muffins Blaubeere 4 Stück, mit Blaubeeren","0,99 €","0,52 €",Preis pro 100 Gramm,(Tube 190 Gramm),aldi-sued
2988,American Mini Brownies mit Schokostückchen,"1,49 €","0,41 €",Preis pro 100 Gramm,(Packung 360 Gramm),aldi-sued
2989,American Mini Brownies Walnuss,"1,49 €","0,68 €",Preis pro 100 Gramm,(Packung 220 Gramm),aldi-sued
2990,American Pancakes 6 Stück,"1,49 €","0,68 €",Preis pro 100 Gramm,(Packung 220 Gramm),aldi-sued
2991,rio d oro Premium Fruchtnektar Birne,"1,59 €","0,53 €",Preis pro 100 Gramm,(Packung 300 Gramm),aldi-sued
2992,"Roi de Trefle Original Französischer Weichkäse Classic, 60 % Fett","0,85 €","0,85 €",Preis pro 1 Liter,(Pet-Flasche 1 L),aldi-sued
2993,"Roi de Trefle Original Französischer Weichkäse Joghurt, 15 % Fett absolut","1,15 €","0,58 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
2994,Alpenmark Käse mit Brennessel,"1,15 €","0,58 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
2995,Alpenmark Cremige Frischkäse Kräuter,"0,29 €","0,23 €",Preis pro 100 Gramm,(Becher 125 Gramm),aldi-sued
2996,Alpenmark Cremige Frischkäse Paprika,"0,69 €","0,46 €",Preis pro 100 Gramm,(Becher 150 Gramm),aldi-sued
2997,Primana Fleischbällchen-Topf Grüne Bohnen mit 200 g Fleischbällchen,"0,69 €","0,46 €",Preis pro 100 Gramm,(Becher 150 Gramm),aldi-sued
2998,Choceur Latte Macchiato,"1,49 €","1,86 €",Preis pro 1 KG,(Dose 800 Gramm),aldi-sued
2999,Knusperone Newline Flakes mit Schokolade,"1,19 €","0,60 €",Preis pro 100 Gramm,(Tafel 200 Gramm),aldi-sued
3000,Knusperone Newline Flakes Red Fruit,"1,99 €","4,68 €",Preis pro 1 KG,(Packung 425 Gramm),aldi-sued
3001,Knusperone Newline Flakes Classic,"1,99 €","4,68 €",Preis pro 1 KG,(Packung 425 Gramm),aldi-sued
3002,Knusperone Newline Flakes Black Berry,"1,99 €","4,68 €",Preis pro 1 KG,(Packung 425 Gramm),aldi-sued
3003,Choceur DELUXE Chocolate Sticks Dark-Orange,"1,99 €","4,68 €",Preis pro 1 KG,(Packung 425 Gramm),aldi-sued
3004,Choceur DELUXE Chocolate Sticks Amaretto,"1,59 €","1,27 €",Preis pro 100 Gramm,(Packung 125 Gramm),aldi-sued
3005,Aldi Süd Bauernschnitten geschnitten,"1,59 €","1,27 €",Preis pro 100 Gramm,(Packung 125 Gramm),aldi-sued
3006,KÜR Basic Shampoo for men,"0,55 €","1,10 €",Preis pro 1 KG,(Beutel 500 Gramm),aldi-sued
3007,Choceur DELUXE Chocolate Sticks Dark,"0,75 €","0,15 €",Preis pro 100 ml,(Flasche (Kunststoff) 500 ML),aldi-sued
3008,Choceur DELUXE Chocolate Sticks Intense,"1,49 €","1,19 €",Preis pro 100 Gramm,(Packung 125 Gramm),aldi-sued
3009,Desira Quark Dessert Kirsche,"1,49 €","1,19 €",Preis pro 100 Gramm,(Packung 125 Gramm),aldi-sued
3010,Desira Joghurt Crisp Joghurt & Vanilla & Schoko Perls,"0,39 €","0,26 €",Preis pro 1 Liter,(Pet-Flasche 1.5 L),aldi-sued
3011,Lacura Body Handcreme trockene Haut,"0,35 €","0,20 €",Preis pro 100 Gramm,(Becher 175 Gramm),aldi-sued
